6098,12,15
7898,22,29
6698,23,56
6998,19,21
1198,35,179
5600,38,132
5000,53,184
0200,83,167
1000,52,216
3800,57,205
4401,70,129
4402,53,118
4600,57,222
3301,64,150
3302,77,146
1601,55,138
1501,49,179
1602,39,161
1502,104,147
3000,64,271
2302,75,200
2301,80,152
3502,56,173
3503,60,181
3102,24,180
3501,31,164
3103,67,191
3101,56,163
3204,54,171
5403,66,162
3203,36,168
5401,77,177
4901,28,146
4903,59,169
4902,50,150
5402,65,145
4904,55,138
3201,52,186
3202,29,181
2003,28,203
2001,51,201
2002,62,187
0502,33,168
2801,57,162
0501,69,195
2004,25,183
2804,51,153
0503,56,145
0904,52,168
2802,67,197
0901,63,180
0903,66,158
0504,66,186
2803,67,161
0902,54,156
1903,37,198
0905,78,178
1904,57,224
1901,53,202
1902,70,201
4105,71,165
4101,57,159
4103,48,181
4102,57,168
4104,39,173
7298,145,904
4003,66,198
4001,47,219
4004,54,195
4005,53,247
4002,62,197
2205,76,192
2206,88,162
2201,107,215
2204,54,181
2202,128,292
2203,33,163
0806,70,174
0805,22,160
0807,51,178
0804,73,205
0803,45,193
0801,67,181
0802,60,187
4504,39,169
4506,121,201
4507,51,163
4502,75,160
4503,54,155
4501,85,154
4505,65,155
2102,71,176
2103,30,189
2105,68,195
2707,80,203
2101,94,197
2104,75,178
2106,40,192
2706,60,128
2708,65,188
2703,60,144
2702,44,147
2705,47,198
2704,39,173
0104,75,171
0107,109,213
0102,65,188
0105,39,149
2701,46,168
0101,56,170
0106,82,163
0103,66,169
0401,79,182
0402,65,191
0406,40,176
0403,95,178
0408,47,164
0407,52,171
0409,82,181
0404,86,166
0405,51,172
2501,50,174
2505,88,161
2504,76,144
2507,95,200
2503,62,158
2509,109,178
2502,53,162
2403,175,213
2508,102,181
2506,68,149
2402,147,220
2404,101,184
2401,103,177
2405,79,164
2407,101,223
2406,92,176
2408,103,190
2901,50,201
2908,66,177
2906,90,203
2907,33,151
2902,66,162
2904,61,165
2903,86,162
2905,65,223
5502,36,165
5504,66,240
5505,78,175
5503,73,164
5501,63,161
5508,59,168
5506,87,167
5507,75,197
5306,96,159
5305,30,159
